"","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
"227","Survived",2,"Mellors, Mr. William John","Male",19,0,0,"SW/PP 751",10.5,"","Southampton"
"231","Survived",1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)","Female",35,1,0,"36973",83.475,"C83","Southampton"
"234","Survived",3,"Asplund, Miss. Lillian Gertrud","Female",5,4,2,"347077",31.3875,"","Southampton"
"238","Survived",2,"Collyer, Miss. Marjorie ""Lottie""","Female",8,0,2,"C.A. 31921",26.25,"","Southampton"
"248","Survived",2,"Hamalainen, Mrs. William (Anna)","Female",24,0,2,"250649",14.5,"","Southampton"
"249","Survived",1,"Beckwith, Mr. Richard Leonard","Male",37,1,1,"11751",52.5542,"D35","Southampton"
"256","Survived",3,"Touma, Mrs. Darwis (Hanne Youssef Razi)","Female",29,0,2,"2650",15.2458,"","Cherbourg"
"258","Survived",1,"Cherry, Miss. Gladys","Female",30,0,0,"110152",86.5,"B77","Southampton"
"259","Survived",1,"Ward, Miss. Anna","Female",35,0,0,"PC 17755",512.3292,"","Cherbourg"
"260","Survived",2,"Parrish, Mrs. (Lutie Davis)","Female",50,0,1,"230433",26,"","Southampton"
"262","Survived",3,"Asplund, Master. Edvin Rojj Felix","Male",3,4,2,"347077",31.3875,"","Southampton"
"268","Survived",3,"Persson, Mr. Ernst Ulrik","Male",25,1,0,"347083",7.775,"","Southampton"
"269","Survived",1,"Graham, Mrs. William Thompson (Edith Junkins)","Female",58,0,1,"PC 17582",153.4625,"C125","Southampton"
"270","Survived",1,"Bissette, Miss. Amelia","Female",35,0,0,"PC 17760",135.6333,"C99","Southampton"
"272","Survived",3,"Tornquist, Mr. William Henry","Male",25,0,0,"LINE",0,"","Southampton"
"273","Survived",2,"Mellinger, Mrs. (Elizabeth Anne Maidment)","Female",41,0,1,"250644",19.5,"","Southampton"
"276","Survived",1,"Andrews, Miss. Kornelia Theodosia","Female",63,1,0,"13502",77.9583,"D7","Southampton"
"280","Survived",3,"Abbott, Mrs. Stanton (Rosa Hunt)","Female",35,1,1,"C.A. 2673",20.25,"","Southampton"
"284","Survived",3,"Dorking, Mr. Edward Arthur","Male",19,0,0,"A/5. 10482",8.05,"","Southampton"
"287","Survived",3,"de Mulder, Mr. Theodore","Male",30,0,0,"345774",9.5,"","Southampton"
"289","Survived",2,"Hosono, Mr. Masabumi","Male",42,0,0,"237798",13,"","Southampton"
"290","Survived",3,"Connolly, Miss. Kate","Female",22,0,0,"370373",7.75,"","Queenstown"
"291","Survived",1,"Barber, Miss. Ellen ""Nellie""","Female",26,0,0,"19877",78.85,"","Southampton"
"292","Survived",1,"Bishop, Mrs. Dickinson H (Helen Walton)","Female",19,1,0,"11967",91.0792,"B49","Cherbourg"
"300","Survived",1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)","Female",50,0,1,"PC 17558",247.5208,"B58 B60","Cherbourg"
"306","Survived",1,"Allison, Master. Hudson Trevor","Male",0.92,1,2,"113781",151.55,"C22 C26","Southampton"
"308","Survived",1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)","Female",17,1,0,"PC 17758",108.9,"C65","Cherbourg"
"310","Survived",1,"Francatelli, Miss. Laura Mabel","Female",30,0,0,"PC 17485",56.9292,"E36","Cherbourg"
"311","Survived",1,"Hays, Miss. Margaret Bechstein","Female",24,0,0,"11767",83.1583,"C54","Cherbourg"
"312","Survived",1,"Ryerson, Miss. Emily Borie","Female",18,2,2,"PC 17608",262.375,"B57 B59 B63 B66","Cherbourg"
"316","Survived",3,"Nilsson, Miss. Helmina Josefina","Female",26,0,0,"347470",7.8542,"","Southampton"
"317","Survived",2,"Kantor, Mrs. Sinai (Miriam Sternin)","Female",24,1,0,"244367",26,"","Southampton"
"319","Survived",1,"Wick, Miss. Mary Natalie","Female",31,0,2,"36928",164.8667,"C7","Southampton"
"320","Survived",1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)","Female",40,1,1,"16966",134.5,"E34","Cherbourg"
"323","Survived",2,"Slayter, Miss. Hilda Mary","Female",30,0,0,"234818",12.35,"","Queenstown"
"324","Survived",2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)","Female",22,1,1,"248738",29,"","Southampton"
"326","Survived",1,"Young, Miss. Marie Grice","Female",36,0,0,"PC 17760",135.6333,"C32","Cherbourg"
"328","Survived",2,"Ball, Mrs. (Ada E Hall)","Female",36,0,0,"28551",13,"D","Southampton"
"329","Survived",3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)","Female",31,1,1,"363291",20.525,"","Southampton"
"330","Survived",1,"Hippach, Miss. Jean Gertrude","Female",16,0,1,"111361",57.9792,"B18","Cherbourg"
"338","Survived",1,"Burns, Miss. Elizabeth Margaret","Female",41,0,0,"16966",134.5,"E40","Cherbourg"
"339","Survived",3,"Dahl, Mr. Karl Edwart","Male",45,0,0,"7598",8.05,"","Southampton"
"341","Survived",2,"Navratil, Master. Edmond Roger","Male",2,1,1,"230080",26,"F2","Southampton"
"342","Survived",1,"Fortune, Miss. Alice Elizabeth","Female",24,3,2,"19950",263,"C23 C25 C27","Southampton"
"346","Survived",2,"Brown, Miss. Amelia ""Mildred""","Female",24,0,0,"248733",13,"F33","Southampton"
"347","Survived",2,"Smith, Miss. Marion Elsie","Female",40,0,0,"31418",13,"","Southampton"
"349","Survived",3,"Coutts, Master. William Loch ""William""","Male",3,1,1,"C.A. 37671",15.9,"","Southampton"
"357","Survived",1,"Bowerman, Miss. Elsie Edith","Female",22,0,1,"113505",55,"E33","Southampton"
"367","Survived",1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)","Female",60,1,0,"110813",75.25,"D37","Cherbourg"
"370","Survived",1,"Aubart, Mme. Leontine Pauline","Female",24,0,0,"PC 17477",69.3,"B35","Cherbourg"
"371","Survived",1,"Harder, Mr. George Achilles","Male",25,1,0,"11765",55.4417,"E50","Cherbourg"
"377","Survived",3,"Landergren, Miss. Aurora Adelia","Female",22,0,0,"C 7077",7.25,"","Southampton"
"381","Survived",1,"Bidois, Miss. Rosalie","Female",42,0,0,"PC 17757",227.525,"","Cherbourg"
"382","Survived",3,"Nakid, Miss. Maria (""Mary"")","Female",1,0,2,"2653",15.7417,"","Cherbourg"
"384","Survived",1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)","Female",35,1,0,"113789",52,"","Southampton"
"388","Survived",2,"Buss, Miss. Kate","Female",36,0,0,"27849",13,"","Southampton"
"390","Survived",2,"Lehmann, Miss. Bertha","Female",17,0,0,"SC 1748",12,"","Cherbourg"
"391","Survived",1,"Carter, Mr. William Ernest","Male",36,1,2,"113760",120,"B96 B98","Southampton"
"392","Survived",3,"Jansson, Mr. Carl Olof","Male",21,0,0,"350034",7.7958,"","Southampton"
"394","Survived",1,"Newell, Miss. Marjorie","Female",23,1,0,"35273",113.275,"D36","Cherbourg"
"395","Survived",3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)","Female",24,0,2,"PP 9549",16.7,"G6","Southampton"
"400","Survived",2,"Trout, Mrs. William H (Jessie L)","Female",28,0,0,"240929",12.65,"","Southampton"
"401","Survived",3,"Niskanen, Mr. Juha","Male",39,0,0,"STON/O 2. 3101289",7.925,"","Southampton"
"408","Survived",2,"Richards, Master. William Rowe","Male",3,1,1,"29106",18.75,"","Southampton"
"413","Survived",1,"Minahan, Miss. Daisy E","Female",33,1,0,"19928",90,"C78","Queenstown"
"415","Survived",3,"Sundman, Mr. Johan Julian","Male",44,0,0,"STON/O 2. 3101269",7.925,"","Southampton"
"417","Survived",2,"Drew, Mrs. James Vivian (Lulu Thorne Christian)","Female",34,1,1,"28220",32.5,"","Southampton"
"418","Survived",2,"Silven, Miss. Lyyli Karoliina","Female",18,0,2,"250652",13,"","Southampton"
"427","Survived",2,"Clarke, Mrs. Charles V (Ada Maria Winfield)","Female",28,1,0,"2003",26,"","Southampton"
"428","Survived",2,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")","Female",19,0,0,"250655",26,"","Southampton"
"430","Survived",3,"Pickard, Mr. Berk (Berk Trembisky)","Male",32,0,0,"SOTON/O.Q. 392078",8.05,"E10","Southampton"
"431","Survived",1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan","Male",28,0,0,"110564",26.55,"C52","Southampton"
"433","Survived",2,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)","Female",42,1,0,"SC/AH 3085",26,"","Southampton"
"436","Survived",1,"Carter, Miss. Lucile Polk","Female",14,1,2,"113760",120,"B96 B98","Southampton"
"438","Survived",2,"Richards, Mrs. Sidney (Emily Hocking)","Female",24,2,3,"29106",18.75,"","Southampton"
"441","Survived",2,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)","Female",45,1,1,"F.C.C. 13529",26.25,"","Southampton"
"444","Survived",2,"Reynaldo, Ms. Encarnacion","Female",28,0,0,"230434",13,"","Southampton"
"446","Survived",1,"Dodge, Master. Washington","Male",4,0,2,"33638",81.8583,"A34","Southampton"
"447","Survived",2,"Mellinger, Miss. Madeleine Violet","Female",13,0,1,"250644",19.5,"","Southampton"
"448","Survived",1,"Seward, Mr. Frederic Kimber","Male",34,0,0,"113794",26.55,"","Southampton"
"449","Survived",3,"Baclini, Miss. Marie Catherine","Female",5,2,1,"2666",19.2583,"","Cherbourg"
"450","Survived",1,"Peuchen, Major. Arthur Godfrey","Male",52,0,0,"113786",30.5,"C104","Southampton"
"454","Survived",1,"Goldenberg, Mr. Samuel L","Male",49,1,0,"17453",89.1042,"C92","Cherbourg"
"456","Survived",3,"Jalsevac, Mr. Ivan","Male",29,0,0,"349240",7.8958,"","Cherbourg"
"459","Survived",2,"Toomey, Miss. Ellen","Female",50,0,0,"F.C.C. 13531",10.5,"","Southampton"
"461","Survived",1,"Anderson, Mr. Harry","Male",48,0,0,"19952",26.55,"E12","Southampton"
"470","Survived",3,"Baclini, Miss. Helene Barbara","Female",0.75,2,1,"2666",19.2583,"","Cherbourg"
"473","Survived",2,"West, Mrs. Edwy Arthur (Ada Mary Worth)","Female",33,1,2,"C.A. 34651",27.75,"","Southampton"
"474","Survived",2,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)","Female",23,0,0,"SC/AH Basle 541",13.7917,"D","Cherbourg"
"480","Survived",3,"Hirvonen, Miss. Hildur E","Female",2,0,1,"3101298",12.2875,"","Southampton"
"484","Survived",3,"Turkula, Mrs. (Hedwig)","Female",63,0,0,"4134",9.5875,"","Southampton"
"485","Survived",1,"Bishop, Mr. Dickinson H","Male",25,1,0,"11967",91.0792,"B49","Cherbourg"
"487","Survived",1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)","Female",35,1,0,"19943",90,"C93","Southampton"
"490","Survived",3,"Coutts, Master. Eden Leslie ""Neville""","Male",9,1,1,"C.A. 37671",15.9,"","Southampton"
"497","Survived",1,"Eustis, Miss. Elizabeth Mussey","Female",54,1,0,"36947",78.2667,"D20","Cherbourg"
"505","Survived",1,"Maioni, Miss. Roberta","Female",16,0,0,"110152",86.5,"B79","Southampton"
"507","Survived",2,"Quick, Mrs. Frederick Charles (Jane Richards)","Female",33,0,2,"26360",26,"","Southampton"
"510","Survived",3,"Lang, Mr. Fang","Male",26,0,0,"1601",56.4958,"","Southampton"
"511","Survived",3,"Daly, Mr. Eugene Patrick","Male",29,0,0,"382651",7.75,"","Queenstown"
"513","Survived",1,"McGough, Mr. James Robert","Male",36,0,0,"PC 17473",26.2875,"E25","Southampton"
"514","Survived",1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)","Female",54,1,0,"PC 17603",59.4,"","Cherbourg"
"517","Survived",2,"Lemore, Mrs. (Amelia Milley)","Female",34,0,0,"C.A. 34260",10.5,"F33","Southampton"
"519","Survived",2,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)","Female",36,1,0,"226875",26,"","Southampton"
"521","Survived",1,"Perreault, Miss. Anne","Female",30,0,0,"12749",93.5,"B73","Southampton"
"524","Survived",1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)","Female",44,0,1,"111361",57.9792,"B18","Cherbourg"
"527","Survived",2,"Ridsdale, Miss. Lucy","Female",50,0,0,"W./C. 14258",10.5,"","Southampton"
"531","Survived",2,"Quick, Miss. Phyllis May","Female",2,1,1,"26360",26,"","Southampton"
"536","Survived",2,"Hart, Miss. Eva Miriam","Female",7,0,2,"F.C.C. 13529",26.25,"","Southampton"
"538","Survived",1,"LeRoy, Miss. Bertha","Female",30,0,0,"PC 17761",106.425,"","Cherbourg"
"540","Survived",1,"Frolicher, Miss. Hedwig Margaritha","Female",22,0,2,"13568",49.5,"B39","Cherbourg"
"541","Survived",1,"Crosby, Miss. Harriet R","Female",36,0,2,"WE/P 5735",71,"B22","Southampton"
"544","Survived",2,"Beane, Mr. Edward","Male",32,1,0,"2908",26,"","Southampton"
"547","Survived",2,"Beane, Mrs. Edward (Ethel Clarke)","Female",19,1,0,"2908",26,"","Southampton"
"550","Survived",2,"Davies, Master. John Morgan Jr","Male",8,1,1,"C.A. 33112",36.75,"","Southampton"
"551","Survived",1,"Thayer, Mr. John Borland Jr","Male",17,0,2,"17421",110.8833,"C70","Cherbourg"
"554","Survived",3,"Leeni, Mr. Fahim (""Philip Zenni"")","Male",22,0,0,"2620",7.225,"","Cherbourg"
"555","Survived",3,"Ohman, Miss. Velin","Female",22,0,0,"347085",7.775,"","Southampton"
"557","Survived",1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")","Female",48,1,0,"11755",39.6,"A16","Cherbourg"
"559","Survived",1,"Taussig, Mrs. Emil (Tillie Mandelbaum)","Female",39,1,1,"110413",79.65,"E67","Southampton"
"560","Survived",3,"de Messemaeker, Mrs. Guillaume Joseph (Emma)","Female",36,1,0,"345572",17.4,"","Southampton"
"570","Survived",3,"Jonsson, Mr. Carl","Male",32,0,0,"350417",7.8542,"","Southampton"
"571","Survived",2,"Harris, Mr. George","Male",62,0,0,"S.W./PP 752",10.5,"","Southampton"
"572","Survived",1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)","Female",53,2,0,"11769",51.4792,"C101","Southampton"
"573","Survived",1,"Flynn, Mr. John Irwin (""Irving"")","Male",36,0,0,"PC 17474",26.3875,"E25","Southampton"
"577","Survived",2,"Garside, Miss. Ethel","Female",34,0,0,"243880",13,"","Southampton"
"578","Survived",1,"Silvey, Mrs. William Baird (Alice Munger)","Female",39,1,0,"13507",55.9,"E44","Southampton"
"580","Survived",3,"Jussila, Mr. Eiriik","Male",32,0,0,"STON/O 2. 3101286",7.925,"","Southampton"
"581","Survived",2,"Christy, Miss. Julie Rachel","Female",25,1,1,"237789",30,"","Southampton"
"582","Survived",1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)","Female",39,1,1,"17421",110.8833,"C68","Cherbourg"
"586","Survived",1,"Taussig, Miss. Ruth","Female",18,0,2,"110413",79.65,"E68","Southampton"
"588","Survived",1,"Frolicher-Stehli, Mr. Maxmillian","Male",60,1,1,"13567",79.2,"B41","Cherbourg"
"592","Survived",1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)","Female",52,1,0,"36947",78.2667,"D20","Cherbourg"
"600","Survived",1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")","Male",49,1,0,"PC 17485",56.9292,"A20","Cherbourg"
"601","Survived",2,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)","Female",24,2,1,"243847",27,"","Southampton"
"605","Survived",1,"Homer, Mr. Harry (""Mr E Haven"")","Male",35,0,0,"111426",26.55,"","Cherbourg"
"608","Survived",1,"Daniel, Mr. Robert Williams","Male",27,0,0,"113804",30.5,"","Southampton"
"609","Survived",2,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)","Female",22,1,2,"SC/Paris 2123",41.5792,"","Cherbourg"
"610","Survived",1,"Shutes, Miss. Elizabeth W","Female",40,0,0,"PC 17582",153.4625,"C125","Southampton"
"616","Survived",2,"Herman, Miss. Alice","Female",24,1,2,"220845",65,"","Southampton"
"619","Survived",2,"Becker, Miss. Marion Louise","Female",4,2,1,"230136",39,"F4","Southampton"
"622","Survived",1,"Kimball, Mr. Edwin Nelson Jr","Male",42,1,0,"11753",52.5542,"D19","Southampton"
"623","Survived",3,"Nakid, Mr. Sahid","Male",20,1,1,"2653",15.7417,"","Cherbourg"
"628","Survived",1,"Longley, Miss. Gretchen Fiske","Female",21,0,0,"13502",77.9583,"D9","Southampton"
"631","Survived",1,"Barkworth, Mr. Algernon Henry Wilson","Male",80,0,0,"27042",30,"A23","Southampton"
"633","Survived",1,"Stahelin-Maeglin, Dr. Max","Male",32,0,0,"13214",30.5,"B50","Cherbourg"
"636","Survived",2,"Davis, Miss. Mary","Female",28,0,0,"237668",13,"","Southampton"
"642","Survived",1,"Sagesser, Mlle. Emma","Female",24,0,0,"PC 17477",69.3,"B35","Cherbourg"
"645","Survived",3,"Baclini, Miss. Eugenie","Female",0.75,2,1,"2666",19.2583,"","Cherbourg"
"646","Survived",1,"Harper, Mr. Henry Sleeper","Male",48,1,0,"PC 17572",76.7292,"D33","Cherbourg"
"648","Survived",1,"Simonius-Blumer, Col. Oberst Alfons","Male",56,0,0,"13213",35.5,"A26","Cherbourg"
"650","Survived",3,"Stanley, Miss. Amy Zillah Elsie","Female",23,0,0,"CA. 2314",7.55,"","Southampton"
"652","Survived",2,"Doling, Miss. Elsie","Female",18,0,1,"231919",23,"","Southampton"
"661","Survived",1,"Frauenthal, Dr. Henry William","Male",50,2,0,"PC 17611",133.65,"","Southampton"
"665","Survived",3,"Lindqvist, Mr. Eino William","Male",20,1,0,"STON/O 2. 3101285",7.925,"","Southampton"
"671","Survived",2,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)","Female",40,1,1,"29750",39,"","Southampton"
"674","Survived",2,"Wilhelms, Mr. Charles","Male",31,0,0,"244270",13,"","Southampton"
"678","Survived",3,"Turja, Miss. Anna Sofia","Female",18,0,0,"4138",9.8417,"","Southampton"
"680","Survived",1,"Cardeza, Mr. Thomas Drake Martinez","Male",36,0,1,"PC 17755",512.3292,"B51 B53 B55","Cherbourg"
"682","Survived",1,"Hassab, Mr. Hammad","Male",27,0,0,"PC 17572",76.7292,"D49","Cherbourg"
"690","Survived",1,"Madill, Miss. Georgette Alexandra","Female",15,0,1,"24160",211.3375,"B5","Southampton"
"691","Survived",1,"Dick, Mr. Albert Adrian","Male",31,1,0,"17474",57,"B20","Southampton"
"692","Survived",3,"Karun, Miss. Manca","Female",4,0,1,"349256",13.4167,"","Cherbourg"
"701","Survived",1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)","Female",18,1,0,"PC 17757",227.525,"C62 C64","Cherbourg"
"702","Survived",1,"Silverthorne, Mr. Spencer Victor","Male",35,0,0,"PC 17475",26.2875,"E24","Southampton"
"707","Survived",2,"Kelly, Mrs. Florence ""Fannie""","Female",45,0,0,"223596",13.5,"","Southampton"
"708","Survived",1,"Calderhead, Mr. Edward Pennington","Male",42,0,0,"PC 17476",26.2875,"E24","Southampton"
"709","Survived",1,"Cleaver, Miss. Alice","Female",22,0,0,"113781",151.55,"","Southampton"
"711","Survived",1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")","Female",24,0,0,"PC 17482",49.5042,"C90","Cherbourg"
"713","Survived",1,"Taylor, Mr. Elmer Zebley","Male",48,1,0,"19996",52,"C126","Southampton"
"717","Survived",1,"Endres, Miss. Caroline Louise","Female",38,0,0,"PC 17757",227.525,"C45","Cherbourg"
"718","Survived",2,"Troutt, Miss. Edwina Celia ""Winnie""","Female",27,0,0,"34218",10.5,"E101","Southampton"
"721","Survived",2,"Harper, Miss. Annie Jessie ""Nina""","Female",6,0,1,"248727",33,"","Southampton"
"725","Survived",1,"Chambers, Mr. Norman Campbell","Male",27,1,0,"113806",53.1,"E8","Southampton"
"727","Survived",2,"Renouf, Mrs. Peter Henry (Lillian Jefferys)","Female",30,3,0,"31027",21,"","Southampton"
"731","Survived",1,"Allen, Miss. Elisabeth Walton","Female",29,0,0,"24160",211.3375,"B5","Southampton"
"738","Survived",1,"Lesurer, Mr. Gustave J","Male",35,0,0,"PC 17755",512.3292,"B101","Cherbourg"
"743","Survived",1,"Ryerson, Miss. Susan Parker ""Suzette""","Female",21,2,2,"PC 17608",262.375,"B57 B59 B63 B66","Cherbourg"
